epoch,train_loss,val_loss,val_mae_hz
0,1.936142633902106e+35,4.7780172106870225e+27,inf
1,1.2212074163420287e+35,15588.215787562542,3.058383935625553e+208
2,4.261461414447879e+34,inf,inf
3,5.143946813264182e+35,4.7780172106870225e+27,inf
4,4.568395572419699e+35,inf,inf
5,3.8115017353627834e+35,inf,0.3527395730918152
6,2.536220920021936e+31,inf,inf
7,1.3104206254880893e+31,inf,inf
8,0.0937331890494659,inf,inf
9,4.756061409887923e+35,inf,inf
10,8.010074454147567e+34,3.103791425625483,36.543380754120506
11,2.774924065435765e+31,0.0876326933503151,0.28523112541643075
12,2.536220920021936e+31,inf,inf
13,1.1738317475057535e+35,inf,inf
14,7.862284852068001e+31,4.807232524463836e+27,inf
15,9.454587038406287e+35,inf,inf
16,5.284811582075913e+35,2392187262205952.0,inf
17,5.765675558183201e+31,inf,inf
18,2.6914122946021666e+34,65620333909.42063,inf
19,0.10796347803303173,inf,inf
20,5.7657233618175985e+31,inf,inf
21,5.524848814966704e+31,inf,inf
22,3.6726001991199e+33,0.06715689847866695,0.23562335077514432
23,6.594174392057034e+31,inf,inf
24,0.07704948720832666,inf,inf
25,2.312436721196471e+31,inf,inf
26,0.08201555786906062,2392187262205952.0,inf
27,2.536220920021936e+31,2392187262205952.0,inf
28,8.15348058732978e+31,inf,inf
29,2.3825105612327275e+31,0.10304969052473704,0.3132562844932599
30,2.536220920021936e+31,inf,inf
31,8.3537224712295e+31,inf,inf
32,0.08175953546719204,inf,inf
33,1.4295063367396367e+31,inf,inf
34,9.609539140719794e+31,inf,inf
35,4.162386098153648e+31,inf,inf
36,4.057953472035098e+31,inf,inf
37,4.765021122465455e+31,inf,inf
